"","items","count","total","rnd","customer","age","city","paymentType"
"1","citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes",9,1965,1,"Farida",22,"Cairo","Credit"
"2","beef",1,784,11,"Hanan",22,"Fayoum","Cash"
"3","yogurt",1,599,1,"Farida",22,"Cairo","Cash"
"4","other vegetables",1,1906,1,"Farida",22,"Cairo","Credit"
"5","pastry,bottled water",2,730,1,"Farida",22,"Cairo","Credit"
"6","packaged fruit/vegetables,brown bread,canned beer",3,2236,11,"Hanan",22,"Fayoum","Cash"
"7","other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent",7,2146,11,"Hanan",22,"Fayoum","Credit"
"8","whole milk",1,453,1,"Farida",22,"Cairo","Credit"
"9","flour,salt,bottled water,fruit/vegetable juice,bottled beer",5,2079,1,"Farida",22,"Cairo","Credit"
"10","fruit/vegetable juice,salty snack,candles",3,1133,1,"Farida",22,"Cairo","Credit"
"11","sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags",9,2213,1,"Farida",22,"Cairo","Credit"
"12","sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags",10,1695,1,"Farida",22,"Cairo","Credit"
"13","curd cheese",1,717,11,"Hanan",22,"Fayoum","Credit"
"14","newspapers",1,1854,11,"Hanan",22,"Fayoum","Cash"
"15","canned beer",1,111,1,"Farida",22,"Cairo","Credit"
"16","frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",10,1379,11,"Hanan",22,"Fayoum","Credit"
"17","grapes,other vegetables,curd,dessert,yogurt,napkins",6,311,1,"Farida",22,"Cairo","Cash"
"18","ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",8,1201,11,"Hanan",22,"Fayoum","Cash"
"19","bottled beer",1,280,11,"Hanan",22,"Fayoum","Credit"
"20","other vegetables,ice cream",2,2103,11,"Hanan",22,"Fayoum","Cash"
"21","soda,bottled beer,white wine,prosecco",4,1922,1,"Farida",22,"Cairo","Credit"
"22","curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",7,853,11,"Hanan",22,"Fayoum","Credit"
"23","curd,salt,liquor (appetizer),detergent,shopping bags",5,1544,11,"Hanan",22,"Fayoum","Cash"
